bus_number,area_number
1,8
2,3
3,8
4,1
5,8
6,7
7,8
8,8
9,7
10,4
11,1
12,5
13,1
14,7
15,3
16,3
17,8
18,8
19,10
20,1
21,8
22,6
23,6
24,4
25,1
26,7
27,7
28,2
29,2
30,4
31,6
32,7
33,10
34,5
35,3
36,8
37,3
38,3
39,3
40,10
41,10
42,1
43,2
44,4
45,10
46,2
47,2
48,6
49,10
50,4
51,1
52,1
53,10
54,8
55,7
56,2
57,2
58,2
59,4
60,8
61,6
62,7
63,7
64,10
65,6
66,5
67,4
68,10
69,10
70,8
71,7
72,7
73,6
74,7
75,7
76,7
77,7
78,7
79,7
80,8
81,1
82,8
83,7
84,4
85,2
86,9
87,9
88,9
89,5
90,2
91,5
92,4
93,3
94,1
95,2
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,6
104,6
105,3
106,6
107,5
108,10
109,4
110,5
111,4
112,10
113,6
114,10
115,10
116,10
117,2
118,6
119,4
120,5
121,8
122,6
123,6
124,2
125,1
126,3
127,2
128,9
129,6
130,7
131,5
132,1
133,8
134,10
135,10
136,5
137,2
138,2
139,3
140,8
141,5
142,9
143,3
144,8
145,7
146,7
147,7
148,6
149,8
150,3
151,1
152,8
153,8
154,5
155,8
156,9
157,8
158,7
159,2
160,1
161,9
162,9
163,3
164,5
165,10
166,5
167,7
168,1
169,7
170,2
171,3
172,2
173,3
174,4
175,4
176,6
177,5
178,7
179,10
180,4
181,8
182,4
183,8
184,7
185,5
186,10
187,4
188,10
189,10
190,6
191,1
192,8
193,4
194,5
195,10
196,8
197,10
198,8
199,6
200,5
201,8
202,6
203,7
204,5
205,10
206,7
207,7
208,4
209,6
210,8
211,7
212,8
213,7
214,1
215,1
216,10
217,8
218,4
219,4
220,6
221,6
222,6
223,6
224,6
225,6
226,2
227,7
228,6
229,5
230,3
231,1
232,3
233,9
234,8
235,7
236,6
237,3
238,6
239,6
240,1
241,8
242,3
243,6
244,7
245,10
246,5
247,7
248,5
249,5
250,10
251,4
252,3
253,10
254,10
255,3
256,2
257,10
258,1
259,8
260,5
261,7
262,7
263,1
264,4
265,4
266,2
267,7
268,2
269,2
270,1
271,7
272,5
273,7
274,7
275,7
276,7
277,5
278,1
279,6
280,8
281,7
282,7
283,1
284,5
285,7
286,10
287,6
288,10
289,5
290,10
291,5
292,1
293,2
294,1
295,6
296,1
297,10
298,2
299,1
300,7
301,7
302,5
303,4
304,10
305,7
306,7
307,7
308,7
309,7
310,7
311,7
312,7
313,5
314,5
315,1
316,4
317,5
318,3
319,7
320,7
321,7
322,8
323,7
324,1
325,1
326,8
327,5
328,5
329,4
330,8
331,1
332,1
333,7
334,10
335,4
336,10
337,10
338,10
339,10
340,10
341,8
342,6
343,8
344,10
345,10
346,10
347,3
348,2
349,2
350,4
351,9
352,10
353,6
354,8
355,2
356,3
357,5
358,5
359,5
360,10
361,10
362,10
363,10
364,10
365,1
366,5
367,6
368,10
369,10
370,6
371,4
372,4
373,2
374,5
375,10
376,5
377,4
378,4
379,6
380,1
381,4
382,4
383,4
384,4
385,5
386,5
387,4
388,5
389,9
390,10
391,1
392,1
393,3
394,8
395,8
396,8
397,10
398,2
399,5
400,1
401,10
402,1
403,10
404,5
405,4
406,4
407,10
408,10
409,6
410,4
411,5
412,6
413,3
414,4
415,3
416,4
417,6
418,5
419,3
420,2
421,2
422,7
423,1
424,6
425,2
426,7
427,10
428,5
429,1
430,5
431,3
432,1
433,5
434,8
435,4
436,5
437,8
438,7
439,5
440,3
441,8
442,7
443,8
444,6
445,6
446,5
447,7
448,8
449,10
450,3
451,2
452,1
453,4
454,8
455,4
456,10
457,7
458,3
459,7
460,2
461,3
462,6
463,3
464,6
465,6
466,1
467,7
468,10
469,5
470,6
471,6
472,3
473,1
474,1
475,5
476,5
477,8
478,5
479,5
480,9
481,9
482,9
483,9
484,1
485,4
486,6
487,8
488,5
489,4
490,6
491,3
492,5
493,2
494,4
495,7
496,2
497,1
498,2
499,2
500,2
501,7
502,9
503,2
504,4
505,9
506,2
507,6
508,7
509,7
510,7
511,8
512,8
513,8
514,7
515,8
516,7
517,5
518,7
519,1
520,6
521,7
522,6
523,7
524,4
525,6
526,2
527,8
528,7
529,3
530,5
531,4
532,5
533,5
534,2
535,8
536,6
537,5
538,5
539,1
540,3
541,9
542,3
543,8
544,7
545,5
546,8
547,6
548,6
549,5
550,4
551,3
552,1
553,5
554,3
555,1
556,5
557,8
558,6
559,1
560,4
561,5
562,4
563,10
564,4
565,8
566,8
567,5
568,6
569,3
570,10
571,5
572,1
573,2
574,10
575,7
576,7
577,7
578,3
579,6
580,4
581,7
582,5
583,6
584,8
585,6
586,3
587,8
588,7
589,10
590,9
591,2
592,7
593,10
594,10
595,2
596,2
597,9
598,1
599,6
600,6
601,7
602,1
603,7
604,4
605,1
606,7
607,3
608,10
609,7
610,4
611,5
612,4
613,10
614,8
615,8
616,6
617,7
618,3
619,8
620,2
621,1
622,6
623,8
624,6
625,3
626,8
627,7
628,10
629,1
630,2
631,10
632,4
633,5
634,7
635,1
636,3
637,10
638,6
639,1
640,4
641,2
642,3
643,9
644,5
645,5
646,10
647,10
648,5
649,10
650,10
651,4
652,4
653,3
654,9
655,7
656,10
657,5
658,2
659,3
660,10
661,7
662,3
663,5
664,4
665,7
666,3
667,1
668,7
669,2
670,2
671,1
672,5
673,6
674,2
675,3
676,10
677,2
678,3
679,3
680,6
681,5
682,2
683,8
684,9
685,3
686,1
687,5
688,2
689,3
690,3
691,4
692,8
693,6
694,6
695,1
696,10
697,4
698,10
699,5
700,6
701,10
702,5
703,2
704,2
705,7
706,10
707,5
708,2
709,7
710,7
711,10
712,5
713,1
714,6
715,2
716,1
717,1
718,5
719,10
720,7
721,2
722,5
723,4
724,8
725,4
726,3
727,5
728,6
729,1
730,9
731,9
732,9
733,5
734,9
735,7
736,2
737,5
738,7
739,5
740,4
741,1
742,7
743,2
744,2
745,10
746,1
747,8
748,5
749,8
750,8
751,8
752,5
753,5
754,2
755,4
756,5
757,4
758,3
759,5
760,10
761,7
762,2
763,2
764,3
765,9
766,6
767,1
768,7
769,7
770,7
771,7
772,6
773,7
774,8
775,8
776,7
777,10
778,5
779,1
780,8
781,1
782,8
783,10
784,6
785,2
786,1
787,1
788,4
789,10
790,3
791,3
792,6
793,6
794,3
795,5
796,2
797,5
798,3
799,1
800,7
801,10
802,2
803,3
804,9
805,6
806,7
807,10
808,4
809,10
810,10
811,7
812,7
813,5
814,10
815,10
816,7
817,2
818,6
819,6
820,7
821,5
822,3
823,7
824,3
825,2
826,4
827,2
828,5
829,4
830,3
831,6
832,2
833,4
834,2
835,7
836,10
837,10
838,2
839,10
840,10
841,10
842,6
843,5
844,5
845,5
846,5
847,10
848,2
849,5
850,4
851,1
852,8
853,5
854,6
855,2
856,4
857,5
858,9
859,8
860,9
861,4
862,4
863,2
864,4
865,4
866,5
867,4
868,4
869,8
870,6
871,6
872,7
873,5
874,4
875,10
876,2
877,10
878,3
879,5
880,5
881,7
882,10
883,2
884,3
885,7
886,1
887,6
888,3
889,7
890,7
891,10
892,8
893,5
894,7
895,3
896,7
897,7
898,7
899,2
900,10
901,5
902,7
