bus_number,area_number
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,3
13,3
14,3
15,3
16,3
17,1
18,1
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,1
29,1
30,2
31,2
32,2
33,2
34,2
35,2
36,1
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,1
45,1
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,1
82,2
83,2
84,1
85,1
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,1
100,2
101,2
102,3
103,3
104,3
105,2
106,2
107,3
108,3
109,3
110,3
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,2
169,2
170,2
171,2
172,2
173,2
174,3
175,3
176,3
177,3
178,3
179,3
180,2
