bus_number,area_number
2112,2
2114,3
2115,3
2116,3
2117,3
2118,3
2119,3
2120,2
2121,2
2122,2
2123,2
2124,2
2125,2
2126,1
2127,1
2128,1
2129,1
2130,1
2131,1
2132,1
2133,1
2134,1
2135,1
2136,1
2137,2
2138,2
2139,2
2140,2
2141,2
2142,2
2143,2
2144,2
2145,2
2146,3
2147,3
2148,3
2149,2
2150,2
2152,3
2153,3
2155,3
2156,3
2157,3
2158,3
2160,3
2161,3
2162,3
2163,3
2164,3
2165,3
2166,3
2167,3
2168,3
2169,3
2170,3
2171,3
2172,3
2173,2
2174,2
2175,2
2176,2
2177,2
2178,2
2180,1
2183,1
2186,1
2189,1
2190,1
2192,1
2193,1
2194,1
2195,1
2198,1
2199,1
2200,1
2201,1
2202,1
2203,1
2204,1
2205,1
2206,1
2207,1
2208,1
2209,1
2210,1
2212,1
2214,2
2215,2
2217,1
2219,2
2220,2
2221,2
2222,2
2223,2
2224,2
2225,2
2226,3
2227,3
2228,2
2229,3
2231,2
2232,1
2233,1
2234,1
2235,1
2237,1
2238,2
2239,3
2240,3
2241,3
2242,3
2243,3
2244,3
2247,3
2249,3
2250,2
2255,1
2259,1
2261,1
2262,1
2263,1
2268,1
2269,2
2270,2
2272,3
2273,3
2274,1
2275,1
2276,1
2277,1
2278,1
2279,3
2280,3
2281,3
2282,3
2283,3
2284,3
2285,3
2286,3
2287,3
2288,3
2289,3
2290,3
2291,3
2292,2
2293,2
2294,2
2295,1
2296,1
2297,1
2298,1
2299,1
2300,1
2301,1
2302,1
2303,1
2304,1
2305,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,1
2312,1
2313,1
2314,1
2315,2
2316,2
2317,2
2318,2
2319,3
2320,2
2321,2
2322,1
2323,1
2324,1
2325,1
2326,1
2328,3
2329,3
2330,3
2331,1
2332,1
2333,1
2334,1
2335,1
2336,1
2337,1
2338,2
2339,1
10108,1
10109,1
10110,1
10111,1
10112,1
10113,1
