bus_number,area_number
1001,3
1002,3
1003,3
1004,2
1032,3
1034,2
1101,3
1102,3
1131,3
1201,3
1202,3
1232,3
1301,3
1302,3
1303,3
1331,3
1333,3
1401,3
1402,3
1403,3
1431,3
2000,3
2030,3
2100,3
2130,3
2201,3
2202,3
2203,3
2233,3
2301,3
2302,3
2332,3
2400,3
2401,3
2402,3
2403,3
2404,3
2405,3
2406,3
2407,3
2408,3
2409,3
2410,3
2411,3
2438,3
2501,3
2502,3
2503,3
2533,3
2600,3
2601,3
2602,3
2603,3
2604,2
2605,3
2606,3
2607,3
2608,3
2609,3
2610,3
2611,3
2612,3
2613,3
2614,3
2615,3
2616,3
2617,3
2618,3
2619,3
2620,3
2621,3
2630,3
2631,3
2634,2
2637,3
2638,3
2901,3
2902,3
3101,1
3102,1
3103,1
3104,1
3105,1
3133,1
3135,1
3201,1
3202,1
3203,1
3204,1
3205,1
3234,1
3301,1
3302,1
3303,1
3304,1
3305,1
3333,1
3401,1
3402,1
3403,1
3404,1
3405,1
3432,1
3433,1
3501,1
3531,1
3601,1
3631,1
3701,1
3731,1
3801,1
3802,1
3803,1
3804,1
3805,1
3806,1
3831,1
3835,1
3836,1
3891,1
3892,1
3893,3
3894,1
3895,3
3896,1
3897,3
3901,1
3902,1
3903,1
3904,1
3905,1
3906,1
3907,1
3908,1
3909,1
3910,1
3911,1
3912,1
3913,1
3914,1
3915,1
3916,1
3917,1
3918,1
3919,1
3920,1
3921,1
3922,1
3923,1
3924,1
3925,1
3926,1
3931,1
3932,1
3933,1
4001,2
4002,2
4003,2
4004,2
4005,2
4006,2
4007,2
4008,2
4009,2
4010,2
4031,2
4035,2
4039,2
4090,2
4091,2
4092,2
4093,2
4094,2
4095,2
4096,2
4097,2
4101,2
4102,2
4103,2
4104,2
4131,2
4132,2
4201,2
4202,2
4203,2
4204,2
4231,2
4232,2
5001,2
5002,2
5003,2
5004,2
5031,2
5032,2
6101,2
6102,2
6103,2
6104,2
6132,2
6201,2
6202,2
6203,2
6204,2
6205,2
6231,2
6235,2
6301,2
6302,2
6303,2
6304,2
6305,2
6333,2
6335,2
6401,2
6402,2
6403,2
6404,2
6433,2
6501,2
6502,2
6503,2
6504,2
6505,2
6506,2
6507,2
6508,2
6509,2
6510,2
6533,2
7001,2
7002,2
7031,2
7032,2
8001,1
8002,1
8003,1
8004,1
8005,1
8033,1
8034,1
