bus_number,area_number
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,1
32,3
33,3
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,5
69,6
70,6
71,6
72,6
73,5
74,5
75,5
76,5
77,6
78,6
79,5
80,5
81,1
82,1
83,5
84,5
85,5
86,5
87,5
88,6
89,4
90,4
91,3
92,3
93,5
94,5
95,5
96,1
97,6
98,6
99,6
100,6
101,5
102,6
103,5
104,5
105,5
106,5
107,6
108,4
109,6
110,5
111,5
112,6
113,6
114,5
115,6
116,6
117,6
118,6
119,4
120,4
121,4
122,4
123,6
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,3
134,3
135,1
136,1
137,1
138,1
139,2
140,2
141,2
142,2
143,1
144,1
145,3
146,3
147,2
148,2
149,2
150,2
151,1
152,2
153,2
154,1
155,1
156,1
157,1
158,2
159,2
160,1
161,1
162,1
163,3
164,3
165,3
166,2
167,2
168,2
169,2
170,2
171,2
172,1
173,1
174,2
175,1
176,1
177,1
178,1
179,2
180,1
181,3
182,2
183,2
184,2
185,3
186,3
187,3
188,2
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,2
199,2
200,3
201,3
202,3
203,3
204,2
205,3
206,2
207,2
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,3
217,3
218,3
219,3
220,1
221,1
222,3
223,4
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,4
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,1
243,1
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,4
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,1
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,3
296,3
297,3
298,3
299,3
300,3
301,3
302,3
303,3
304,4
305,3
306,3
307,3
308,3
309,3
310,3
311,3
312,3
313,3
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,4
334,3
335,3
336,3
337,3
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,3
350,3
351,3
352,3
353,3
354,3
355,3
356,3
357,3
358,3
359,3
360,3
361,3
362,3
363,4
364,3
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,3
375,3
376,3
377,3
378,3
379,4
380,4
381,3
382,3
383,3
384,3
385,3
386,3
387,3
388,3
389,3
390,3
391,3
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,3
403,4
404,3
405,3
406,3
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,4
432,3
433,3
434,3
435,3
436,3
437,3
438,5
439,5
440,3
441,3
442,3
443,5
444,4
445,3
446,3
447,1
448,4
449,3
450,3
451,3
452,4
453,3
454,3
455,3
456,1
457,3
458,3
459,3
460,3
461,3
462,3
463,4
464,3
465,3
466,3
467,1
468,3
469,3
470,4
471,3
472,3
473,4
474,3
475,3
476,3
477,3
478,3
479,4
480,3
481,3
482,3
483,3
484,3
485,4
486,4
487,4
488,4
489,1
490,1
491,3
492,3
493,3
494,3
495,3
496,3
497,3
498,3
499,3
500,3
501,3
502,3
503,3
504,3
505,3
506,3
507,3
508,3
509,1
510,1
511,3
512,3
513,3
514,3
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,1
524,3
525,3
526,3
527,3
528,3
529,3
530,3
531,3
532,3
533,3
534,3
535,3
536,3
537,3
538,3
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,3
547,3
548,3
549,3
550,3
551,3
552,3
553,3
554,3
555,3
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,3
569,3
570,3
571,3
572,1
573,3
574,3
575,3
576,3
577,3
578,3
579,3
580,3
581,3
582,3
583,3
584,3
585,3
586,3
587,4
588,4
589,4
590,4
591,4
592,4
593,4
594,4
595,4
596,4
597,4
598,4
599,4
600,4
601,4
602,4
603,4
604,4
605,4
606,4
607,4
608,4
609,4
610,4
611,4
612,4
613,4
614,4
