bus_number,area_number
1,9
2,9
3,8
4,9
5,9
6,8
7,8
8,8
9,8
10,9
11,9
12,9
13,9
14,9
15,8
16,8
17,8
18,8
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,10
32,9
33,9
34,9
35,6
36,5
37,6
38,5
39,6
40,10
41,10
42,6
43,6
44,6
45,6
46,6
47,10
48,5
49,5
50,6
51,6
52,6
53,6
54,6
55,5
56,5
57,5
58,5
59,6
60,6
61,10
62,6
63,6
64,5
65,5
66,6
67,6
68,6
69,10
70,5
71,5
72,3
73,3
74,2
75,11
76,3
77,3
78,4
79,4
80,3
81,3
82,11
83,11
84,2
85,2
86,10
87,10
88,1
89,1
90,10
91,10
92,10
93,10
94,1
95,1
96,2
97,11
98,4
99,10
100,5
101,5
102,3
103,3
104,2
105,2
106,1
107,1
108,10
109,10
110,4
111,2
112,2
113,3
114,3
115,11
116,4
117,4
118,4
119,4
120,5
121,5
122,5
123,10
124,4
125,2
126,2
127,11
128,11
129,10
130,10
131,10
132,3
133,3
134,9
135,9
136,12
137,12
138,12
139,12
140,13
141,14
142,14
143,13
144,12
145,12
146,9
147,7
148,14
149,14
150,14
151,14
152,13
153,13
154,13
155,12
156,12
157,12
158,12
159,12
160,14
161,14
162,12
163,12
164,12
165,7
166,7
167,7
168,13
169,14
170,13
171,13
172,13
173,13
174,13
175,13
176,13
177,12
178,12
179,12
180,12
181,13
182,7
183,14
184,14
185,14
186,7
187,7
188,7
189,7
190,7
191,7
192,7
193,7
194,7
195,7
196,7
197,8
198,8
199,14
200,14
201,7
202,7
203,7
204,7
205,7
206,7
207,14
208,14
209,8
210,8
211,9
212,8
213,9
214,9
215,8
216,8
217,8
218,8
219,9
220,8
221,9
222,9
223,9
224,9
225,8
226,8
227,8
228,9
229,9
230,9
231,9
232,9
233,9
234,9
235,8
236,9
237,8
238,8
239,8
240,8
241,9
242,10
243,10
244,8
245,9
246,9
247,8
248,8
249,8
250,8
251,9
252,6
253,9
254,8
255,8
256,8
257,9
258,9
259,9
260,8
261,9
262,9
263,8
264,9
265,9
266,9
267,9
268,9
269,8
270,8
271,9
272,9
273,8
274,8
275,9
276,9
277,9
278,8
279,8
280,8
281,8
282,9
283,9
284,9
285,9
286,8
287,8
288,8
289,9
290,8
291,9
292,9
293,8
294,9
295,9
296,9
297,9
298,9
299,8
300,9
301,9
302,9
303,9
304,9
305,9
306,9
307,9
308,9
309,9
310,9
311,9
312,9
313,8
314,8
315,8
316,8
317,9
318,9
319,9
320,8
321,9
322,9
323,9
324,8
325,9
326,9
327,9
328,9
329,9
330,6
331,9
332,9
333,7
334,9
335,8
336,9
337,9
338,8
339,8
340,8
341,8
342,8
343,8
344,8
345,8
346,8
347,9
348,9
349,9
350,8
351,9
352,9
353,9
354,9
355,8
356,9
357,9
358,9
359,9
360,9
361,8
362,9
363,9
364,8
365,9
366,8
367,8
368,8
369,8
370,8
371,8
372,9
373,9
374,8
375,8
376,9
377,9
378,8
379,8
380,8
381,8
382,8
383,8
384,8
385,8
386,9
387,9
388,9
389,9
390,9
391,9
392,9
393,8
394,9
395,9
396,9
397,9
398,9
399,8
400,9
401,9
402,9
403,9
404,9
405,8
406,9
407,9
408,8
409,9
410,8
411,9
412,9
413,8
414,9
415,8
416,9
417,8
418,9
419,9
420,9
421,9
422,8
423,8
424,8
425,9
426,9
427,9
428,9
429,9
430,9
431,8
432,9
433,8
434,8
435,10
436,9
437,8
438,9
439,9
440,9
441,9
442,9
443,9
444,9
445,9
446,9
447,8
448,8
449,6
450,8
451,8
452,9
453,10
454,9
455,9
456,8
457,9
458,9
459,8
460,6
461,9
462,9
463,8
464,9
465,8
466,9
467,6
468,9
469,8
470,9
471,8
472,8
473,8
474,8
475,9
476,10
477,9
478,9
479,9
480,7
481,8
482,9
483,9
484,9
485,9
486,10
487,10
488,9
489,9
490,9
491,9
492,8
493,9
494,9
495,9
496,8
497,8
498,9
499,8
500,9
501,9
502,9
503,9
504,9
505,8
506,9
507,9
508,10
509,10
510,9
511,9
512,8
513,8
514,9
515,9
516,8
517,8
518,9
519,9
520,9
521,8
522,10
523,9
524,9
525,9
526,8
527,8
528,9
529,9
530,9
531,9
532,9
533,9
534,9
535,9
536,9
537,9
538,9
539,9
540,9
541,9
542,8
543,9
544,9
545,9
546,9
547,9
548,9
549,8
550,9
551,8
552,8
553,8
554,8
555,8
556,8
557,9
558,9
559,9
560,9
561,8
562,9
563,8
564,8
565,8
566,8
567,8
568,10
569,9
570,9
571,9
572,9
573,9
574,9
575,9
576,9
577,9
578,8
579,9
580,8
581,9
582,9
583,6
584,6
585,6
586,6
587,5
588,6
589,5
590,5
591,6
592,9
593,5
594,6
595,6
596,6
597,6
598,6
599,6
600,6
601,6
602,4
603,10
604,6
605,5
606,6
607,6
608,6
609,6
610,5
611,6
612,6
613,6
614,6
615,10
616,6
617,6
618,6
619,9
620,5
621,4
622,6
623,6
624,9
625,5
626,6
