bus_number,area_number
1,2
2,2
3,2
4,1
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,1
15,1
16,1
17,1
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
33,1
34,1
35,3
36,3
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,3
46,3
47,3
48,1
49,1
51,1
52,1
53,1
54,1
55,1
57,1
58,1
59,2
60,3
61,2
62,2
63,1
64,2
69,3
70,3
71,3
72,3
73,3
74,3
76,3
77,3
78,3
79,3
80,3
81,3
84,3
85,1
86,1
87,1
88,3
89,1
90,1
91,1
92,1
94,1
97,1
98,1
99,1
100,1
102,1
103,1
104,1
105,1
107,1
108,1
109,1
110,1
112,1
113,3
114,3
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
281,3
319,2
320,2
322,1
323,1
324,1
526,1
528,3
531,3
552,3
562,3
609,3
664,3
1190,2
1200,2
1201,2
2040,3
7001,2
7002,2
7003,2
7011,2
7012,2
7017,1
7023,2
7024,2
7039,1
7044,1
7049,1
7055,1
7057,1
7061,2
7062,2
7071,3
7130,2
7139,2
7166,2
9001,1
9002,1
9003,1
9004,1
9005,1
9006,1
9007,1
9012,1
9021,1
9022,1
9023,1
9024,1
9025,1
9026,1
9031,1
9032,1
9033,1
9034,1
9035,1
9036,1
9037,1
9038,1
9041,1
9042,1
9043,1
9044,1
9051,1
9052,1
9053,1
9054,1
9055,1
9071,1
9072,1
9121,1
9533,1
