bus_number,area_number
1,5
2,5
3,5
4,5
5,3
6,3
7,5
8,5
9,5
10,4
11,4
12,4
13,4
14,2
15,2
16,2
17,2
18,2
19,1
20,1
21,1
22,1
23,2
24,2
25,2
26,2
27,2
28,2
29,5
30,5
31,1
32,1
33,4
34,4
35,1
36,1
37,3
38,3
39,2
40,2
41,2
42,1
43,1
44,5
45,5
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,5
54,5
55,1
56,1
57,2
58,2
59,2
60,2
61,2
62,5
63,5
64,5
65,1
66,1
67,1
68,3
69,3
70,4
71,4
72,4
73,4
74,1
75,1
76,3
77,3
78,2
79,2
80,1
81,1
82,1
83,4
84,4
85,1
86,1
87,3
88,3
89,5
90,5
91,2
92,2
93,3
94,3
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,1
103,1
104,1
105,1
106,1
107,1
108,2
109,2
110,3
111,3
112,1
113,1
114,1
115,1
116,1
117,4
118,4
119,2
120,2
121,5
122,5
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,5
136,5
137,4
138,4
139,2
140,2
141,3
142,3
143,3
144,3
145,3
146,5
147,3
148,3
149,1
150,1
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,5
159,5
160,1
161,1
162,5
163,5
164,5
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,4
173,4
174,4
175,3
176,3
177,3
178,3
179,5
180,5
181,2
182,2
183,3
184,3
185,2
186,2
187,5
188,5
189,1
190,1
191,1
192,1
193,1
194,1
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,4
203,4
204,4
205,1
206,1
207,1
208,2
209,2
210,2
211,2
212,1
213,1
214,4
215,4
216,4
217,4
218,1
219,1
220,3
221,3
222,3
223,3
224,3
225,3
226,2
227,2
228,2
229,2
230,2
231,2
232,5
233,5
234,5
235,1
236,1
237,1
238,2
239,2
240,1
241,1
242,5
243,5
244,4
245,4
246,2
247,3
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,5
263,5
264,5
265,5
266,5
267,1
268,1
269,3
270,3
271,1
272,1
273,1
274,3
275,3
276,5
277,5
278,5
279,2
280,2
281,2
282,2
283,1
284,1
285,2
286,2
287,5
288,5
289,2
290,2
291,5
292,5
293,1
294,1
295,3
296,3
297,4
298,4
299,4
300,3
301,3
302,3
303,3
304,2
305,2
306,2
307,2
308,1
309,1
310,2
311,2
312,1
313,1
314,3
315,3
316,3
317,3
318,3
319,3
320,5
321,5
322,2
323,2
324,2
325,2
326,5
327,5
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,3
337,3
338,3
339,3
340,2
341,2
342,4
343,4
344,4
345,5
346,5
347,2
348,2
349,4
350,4
351,4
352,4
353,4
354,5
355,5
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,5
366,5
367,2
368,2
369,2
370,2
371,5
372,5
373,5
374,5
375,5
376,2
377,2
378,3
379,3
380,4
381,4
382,2
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,2
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,1
400,1
401,3
402,3
403,4
404,4
405,3
406,3
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,5
416,5
417,2
418,2
419,1
420,1
421,5
422,5
423,3
424,3
425,4
426,4
427,4
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,3
448,3
449,2
450,2
451,2
452,3
453,5
454,5
455,5
456,5
457,5
458,5
459,3
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,3
476,5
477,2
478,3
479,5
480,5
481,5
482,5
483,5
484,5
485,5
486,5
487,2
488,2
489,1
490,4
491,5
492,3
493,3
494,3
495,2
496,3
497,3
498,3
499,5
500,1
