bus_number,area_number
1,7
2,14
3,5
4,4
5,13
6,9
7,9
8,4
9,7
10,4
11,4
12,5
13,15
14,2
15,10
16,9
17,8
18,7
19,11
20,7
21,11
22,5
23,7
24,4
25,4
26,12
27,12
28,6
29,15
30,4
31,7
32,7
33,7
34,7
35,7
36,7
37,8
38,4
39,2
40,2
41,1
42,5
43,2
44,13
45,12
46,6
47,6
48,4
49,14
50,7
51,7
52,12
53,3
54,11
55,2
56,3
57,10
58,2
59,5
60,5
61,5
62,5
63,5
64,4
65,5
66,11
67,8
68,14
69,13
70,5
71,3
72,2
73,2
74,4
75,6
76,5
77,14
78,9
79,3
80,3
81,3
82,14
83,2
84,14
85,11
86,13
87,5
88,11
89,2
90,7
91,7
92,15
93,7
94,11
95,12
96,7
97,9
98,6
99,5
100,7
101,14
102,15
103,5
104,5
105,4
106,4
107,16
108,2
109,14
110,14
111,15
112,1
113,1
114,7
115,15
116,15
117,6
118,6
119,14
120,7
121,8
122,5
123,5
124,8
125,5
126,11
127,3
128,15
129,15
130,15
131,15
132,11
133,3
134,3
135,2
136,2
137,14
138,14
139,9
140,9
141,9
142,5
143,5
144,4
145,4
146,4
147,7
148,14
149,12
150,7
151,15
152,15
153,6
154,6
155,9
156,15
157,7
158,7
159,7
160,4
161,4
162,12
163,5
164,5
165,12
166,12
167,12
168,12
169,8
170,1
171,2
172,2
173,4
174,4
175,9
176,9
177,3
178,3
179,3
180,3
181,9
182,14
183,6
184,2
185,5
186,12
187,9
188,9
189,9
190,7
191,8
192,10
193,1
194,9
195,3
196,3
197,10
198,11
199,13
200,10
201,4
202,15
203,4
204,4
205,4
206,15
207,15
208,2
209,15
210,15
211,15
212,15
213,15
214,2
215,2
216,6
217,12
218,11
219,8
220,5
221,11
222,11
223,9
224,9
225,15
226,15
227,13
228,13
229,9
230,15
231,8
232,5
233,4
234,4
235,4
236,4
237,7
238,12
239,13
240,9
241,11
242,15
243,9
244,11
245,8
246,7
247,7
248,3
249,9
250,6
251,12
252,12
253,6
254,6
255,11
256,10
257,10
258,11
259,6
260,6
261,10
262,4
263,4
264,4
265,3
266,3
267,3
268,10
269,10
270,15
271,15
272,15
273,15
274,4
275,12
276,12
277,12
278,12
279,7
280,2
281,5
282,7
283,12
284,5
285,3
286,3
287,12
288,8
289,4
290,4
291,9
292,14
293,14
294,6
295,4
296,6
297,14
298,14
299,4
300,4
301,15
302,14
303,10
304,15
305,14
306,5
307,13
308,10
309,15
310,15
311,11
312,6
313,8
314,8
315,2
316,10
317,10
318,6
319,9
320,4
321,10
322,10
323,10
324,14
325,14
326,10
327,10
328,10
329,4
330,10
331,10
332,16
333,16
334,13
335,11
336,10
337,9
338,9
339,10
340,8
341,9
342,5
343,5
344,14
345,2
346,15
347,16
348,4
349,2
350,2
351,8
352,2
353,3
354,9
355,5
356,8
357,5
358,8
359,15
360,9
361,9
362,9
363,4
364,3
365,7
366,7
367,7
368,7
369,2
370,3
371,5
372,5
373,2
374,13
375,12
376,13
377,5
378,11
379,11
380,11
381,2
382,5
383,4
384,8
385,4
386,8
387,11
388,4
389,14
390,15
391,10
392,15
393,6
394,8
395,8
396,5
397,10
398,12
399,9
400,8
401,11
402,11
403,14
404,6
405,14
406,12
407,12
408,8
409,16
410,13
411,8
412,5
413,13
414,6
415,6
416,2
417,10
418,3
419,8
420,8
421,16
422,9
423,9
424,5
425,5
426,3
427,7
428,13
429,15
430,1
431,11
432,8
433,3
434,14
435,8
436,15
437,4
438,3
439,5
440,8
441,14
442,5
443,4
444,4
445,4
446,4
447,15
448,5
449,5
450,5
451,10
452,13
453,13
454,9
455,4
456,4
457,16
458,16
459,16
460,9
461,5
462,13
463,11
464,4
465,4
466,13
467,1
468,2
469,11
470,7
471,7
472,4
473,4
474,1
475,5
476,8
477,5
478,7
479,7
480,14
481,14
482,5
483,9
484,12
485,13
486,8
487,13
488,8
489,6
490,4
491,14
492,11
493,8
494,8
495,8
496,8
497,8
498,10
499,5
500,5
501,5
502,12
503,2
504,4
505,4
506,13
507,12
508,6
509,2
510,16
511,16
512,7
513,7
514,3
515,8
516,7
517,8
518,4
519,4
520,8
521,14
522,14
523,14
524,14
525,2
526,15
527,15
528,5
529,5
530,6
531,3
532,3
533,3
534,3
535,12
536,12
537,12
538,7
539,2
540,11
541,14
542,14
543,14
544,2
545,2
546,9
547,9
548,9
549,10
550,11
551,11
552,7
553,2
554,5
555,11
556,11
557,8
558,2
559,11
560,6
561,9
562,2
563,15
564,15
565,4
566,13
567,9
568,15
569,10
570,5
571,10
572,14
573,10
574,11
575,11
576,4
577,8
578,10
579,15
580,15
581,15
582,15
583,3
584,14
585,5
586,7
587,5
588,7
589,11
590,4
591,13
592,8
593,10
594,8
595,8
596,12
597,6
598,6
599,12
600,16
601,11
602,10
603,10
604,13
605,13
606,13
607,13
608,13
609,3
610,14
611,14
612,12
613,4
614,9
615,6
616,11
617,11
618,2
619,2
620,3
621,3
622,6
623,7
624,7
625,13
626,14
627,7
628,7
629,6
630,3
631,3
632,3
633,14
634,13
635,5
636,15
637,11
638,8
639,13
640,4
641,11
642,11
643,11
644,11
645,11
646,11
647,7
648,14
649,14
650,14
651,12
652,5
653,15
654,6
655,8
656,13
657,11
658,8
659,8
660,5
661,4
662,16
663,5
664,3
665,5
666,13
667,11
668,12
669,14
670,14
671,14
672,14
673,4
674,4
675,11
676,2
677,14
678,4
679,8
680,14
681,5
682,12
683,2
684,13
685,11
686,2
687,9
688,3
689,7
690,6
691,14
692,6
693,1
694,12
695,14
696,3
697,11
698,15
699,15
700,4
701,4
702,14
703,14
704,14
705,14
706,14
707,12
708,12
709,12
710,7
711,12
712,8
713,8
714,8
715,8
716,8
717,8
718,12
719,15
720,15
721,6
722,1
723,6
724,8
725,5
726,11
727,11
728,14
729,16
730,4
731,4
732,4
733,3
734,3
735,3
736,3
737,13
738,14
739,5
740,2
741,4
742,10
743,2
744,3
745,12
746,12
747,5
748,5
749,14
750,14
751,12
752,13
753,13
754,11
755,11
756,7
757,5
758,14
759,16
760,16
761,15
762,3
763,4
764,4
765,14
766,14
767,6
768,6
769,5
770,6
771,5
772,8
773,13
774,13
775,14
776,14
777,14
778,14
779,9
780,2
781,5
782,5
783,13
784,13
785,13
786,6
787,10
788,15
789,15
790,7
791,14
792,14
793,14
794,14
795,14
796,14
797,5
798,12
799,6
800,6
801,14
802,13
803,14
804,6
805,6
806,14
807,14
808,14
809,14
810,14
811,10
812,10
813,15
814,15
815,16
816,10
817,15
818,6
819,15
820,15
821,15
822,2
823,13
824,8
825,8
826,15
827,15
828,2
829,4
830,15
831,11
832,13
833,13
834,4
835,10
836,7
837,15
838,11
839,2
840,4
841,9
842,9
843,9
844,8
845,11
846,2
847,15
848,2
849,8
850,10
851,16
852,16
853,16
854,9
855,9
856,9
857,4
858,4
859,4
860,4
861,13
862,10
863,10
864,2
865,3
866,13
867,6
868,6
869,10
870,10
871,5
872,16
873,12
874,16
875,15
876,15
877,2
878,15
879,13
880,16
881,16
882,1
883,1
884,3
885,3
886,3
887,3
888,4
889,13
890,10
891,11
892,1
893,1
894,16
895,16
896,10
897,11
898,4
899,3
900,5
901,5
902,5
903,5
904,5
905,5
906,2
907,8
908,4
909,4
910,3
911,15
912,2
913,15
914,16
915,15
916,3
917,3
918,8
919,9
920,9
921,9
922,8
923,2
924,10
925,10
926,14
927,14
928,3
929,3
930,11
931,11
932,5
933,8
934,5
935,10
936,2
937,2
938,2
939,2
940,2
941,13
942,4
943,4
944,6
945,10
946,13
947,6
948,6
949,11
950,15
951,13
952,11
953,13
954,13
955,14
956,12
957,12
958,14
959,14
960,11
961,11
962,6
963,11
964,6
965,12
966,12
967,12
968,12
969,6
970,5
971,5
972,13
973,6
974,6
975,5
976,14
977,7
978,14
979,12
980,12
981,5
982,5
983,6
984,12
985,14
986,12
987,8
988,2
989,2
990,4
991,8
992,11
993,3
994,3
995,3
996,5
997,14
998,6
999,6
1000,14
1001,14
1002,14
1003,14
1004,1
1005,14
1006,14
1007,11
1008,11
1009,8
1010,12
1011,16
1012,1
1013,1
1014,11
1015,13
1016,7
1017,7
1018,7
1019,8
1020,14
1021,6
1022,6
1023,12
1024,12
1025,12
1026,7
1027,7
1028,7
1029,11
1030,13
1031,1
1032,1
1033,1
1034,5
1035,2
1036,2
1037,12
1038,6
1039,6
1040,1
1041,6
1042,6
1043,14
1044,6
1045,13
1046,13
1047,13
1048,2
1049,7
1050,4
1051,3
1052,1
1053,7
1054,14
1055,14
1056,4
1057,12
1058,12
1059,12
1060,12
1061,12
1062,4
1063,13
1064,13
1065,5
1066,4
1067,4
1068,4
1069,4
1070,4
1071,9
1072,8
1073,10
1074,15
1075,5
1076,1
1077,1
1078,8
1079,8
1080,12
1081,12
1082,8
1083,14
1084,14
1085,6
1086,6
1087,5
1088,6
1089,14
1090,6
1091,13
1092,2
1093,2
1094,2
1095,3
1096,4
1097,4
1098,14
1099,14
1100,6
1101,7
1102,13
1103,13
1104,13
1105,13
1106,4
1107,9
1108,13
1109,7
1110,15
1111,8
1112,2
1113,11
1114,11
1115,6
1116,8
1117,8
1118,6
1119,5
1120,10
1121,10
1122,15
1123,12
1124,3
1125,6
1126,5
1127,5
1128,7
1129,14
1130,10
1131,8
1132,15
1133,2
1134,5
1135,2
1136,2
1137,12
1138,11
1139,6
1140,5
1141,4
1142,4
1143,4
1144,11
1145,15
1146,13
1147,13
1148,15
1149,9
1150,14
1151,14
1152,11
1153,5
1154,12
1155,5
1156,7
1157,7
1158,7
1159,16
1160,11
1161,1
1162,1
1163,1
1164,2
1165,2
1166,2
1167,2
1168,1
1169,1
1170,7
1171,7
1172,6
1173,4
1174,12
1175,12
1176,13
1177,13
1178,13
1179,13
1180,10
1181,14
1182,2
1183,2
1184,11
1185,11
1186,6
1187,3
1188,1
1189,11
1190,2
1191,5
1192,2
1193,7
1194,7
1195,7
1196,7
1197,7
1198,7
1199,13
1200,13
1201,6
1202,3
1203,3
1204,11
1205,11
1206,2
1207,3
1208,6
1209,6
1210,4
1211,16
1212,16
1213,12
1214,12
1215,11
1216,10
1217,10
1218,15
1219,14
1220,11
1221,6
1222,3
1223,14
1224,12
1225,2
1226,2
1227,14
1228,6
1229,2
1230,2
1231,15
1232,6
1233,6
1234,5
1235,11
1236,8
1237,8
1238,14
1239,14
1240,14
1241,14
1242,14
1243,14
1244,6
1245,6
1246,11
1247,6
1248,6
1249,6
1250,6
1251,6
1252,6
1253,7
1254,13
1255,14
1256,14
1257,11
1258,4
1259,4
1260,14
1261,13
1262,15
1263,5
1264,5
1265,5
1266,5
1267,11
1268,15
1269,3
1270,1
1271,2
1272,6
1273,5
1274,3
1275,6
1276,6
1277,4
1278,3
1279,3
1280,6
1281,2
1282,4
1283,15
1284,2
1285,4
1286,4
1287,14
1288,5
1289,12
1290,3
1291,10
1292,11
1293,11
1294,10
1295,13
1296,14
1297,14
1298,14
1299,14
1300,14
1301,12
1302,13
1303,14
1304,6
1305,6
1306,7
1307,14
1308,10
1309,10
1310,10
1311,8
1312,16
1313,10
1314,10
1315,11
1316,8
1317,8
1318,9
1319,9
1320,13
1321,12
1322,7
1323,7
1324,15
1325,15
1326,15
1327,10
1328,7
1329,12
1330,11
1331,13
1332,8
1333,8
1334,8
1335,7
1336,7
1337,6
1338,7
1339,4
