bus_number,area_number
50310,3
50311,8
50312,6
50313,8
50314,5
50315,4
50316,5
50317,7
50318,6
50319,2
50320,3
50321,4
50322,5
50323,5
50324,6
50325,7
50326,2
50327,5
50328,6
50329,3
50330,3
50331,2
50332,6
50333,2
50334,2
50335,8
50336,9
50337,7
50338,8
50339,1
50340,7
50341,3
50342,1
50343,7
50344,7
50345,7
50346,8
50347,8
50348,6
50349,7
50350,4
50351,5
50352,7
50353,3
50354,7
50355,4
50356,7
50357,2
50358,1
50359,1
50360,1
50361,3
50362,7
50363,7
50364,7
50365,5
50366,1
50367,4
50368,6
50369,7
50370,2
50371,6
50372,3
50373,1
50374,1
50375,2
50376,6
50377,3
50378,3
50379,5
50380,5
50381,3
50382,3
50383,7
50384,1
50385,4
50386,8
50387,5
50388,1
50389,7
50390,2
50391,3
50392,6
50393,7
50394,1
50395,5
50396,2
50397,7
50398,1
50399,5
50400,8
50401,5
50402,7
50403,9
50404,7
50405,1
50406,3
50407,5
50408,1
50409,7
50410,1
50411,7
50412,7
50413,6
50414,6
50415,7
50416,7
50417,7
50418,7
50419,1
50420,3
50421,7
50422,6
50423,8
50424,7
50425,1
50426,7
50427,7
50428,7
50429,8
50430,7
50431,7
50432,7
50433,7
50434,7
50435,7
50436,7
50437,7
50438,7
50439,7
50440,4
50441,7
50442,3
50443,2
50444,3
50445,4
50446,7
50447,7
50448,3
50449,3
50450,7
50451,7
50452,7
50453,10
50454,8
50455,3
50456,5
50457,4
50458,10
50459,4
50460,3
50461,3
50462,7
50463,9
50464,7
50465,3
50466,10
50467,7
50468,7
50469,7
50470,6
50471,7
50472,3
50473,7
50474,7
50475,3
50476,7
50477,7
50478,7
50479,3
50480,7
50481,7
50482,1
50483,7
50484,8
50485,2
50486,7
50487,6
50488,7
50489,7
50490,7
50491,3
50492,7
50493,4
50494,2
50495,3
50496,6
50497,3
50498,7
50499,6
50500,3
50501,1
50502,7
50503,6
50504,7
50505,7
50506,3
50507,1
50508,3
50509,1
50510,9
50511,4
50512,1
50513,4
50514,5
50515,4
50516,6
50517,4
50518,4
50519,4
50520,5
50521,4
50522,7
50523,7
50524,4
50525,7
50526,3
50527,7
50528,8
50529,7
50530,1
50531,7
50532,1
50533,4
50534,4
50535,5
50536,5
50537,4
50538,1
50539,1
50540,1
50541,7
50542,7
50543,2
50544,6
50545,8
50546,4
50547,7
50548,1
50549,7
53323,5
53324,5
53325,5
53326,5
53327,5
53328,5
53329,5
53330,5
53331,5
53332,5
53333,5
53334,7
53335,7
53336,7
53337,7
53338,4
53339,4
53340,4
53341,4
53342,4
53343,4
53344,4
53345,4
53346,4
53347,4
53348,4
53349,4
53350,4
53351,4
53352,4
53353,4
53354,4
53355,1
53356,1
53357,1
53358,1
53359,1
53360,7
53361,7
53362,7
53363,7
53364,2
53365,2
53366,2
53367,2
53368,2
53369,2
53370,2
53371,2
53372,3
53373,6
53374,6
53375,6
53376,6
53377,6
53378,7
53379,2
53380,2
53381,2
53382,2
53383,2
53384,6
53385,6
53386,6
53387,6
53388,6
53389,6
53390,6
53391,6
53392,6
53393,6
53394,7
53395,2
53396,2
53397,1
53398,2
53399,2
53400,2
53401,1
53402,6
53403,6
53404,6
53405,6
53406,6
53407,6
53408,6
53409,6
53410,6
53411,6
53412,6
53413,6
53414,6
53415,6
53416,6
53417,6
53418,6
53419,6
53420,6
53421,6
53422,6
53423,6
53424,6
53425,6
53426,6
53427,6
53428,6
53429,6
53430,6
53431,6
53432,6
53433,6
53434,6
53435,6
53436,6
53437,6
53438,6
53439,6
53440,6
53441,6
53442,6
53443,6
53444,6
53445,6
53446,6
53447,6
53448,6
53449,6
53450,6
53451,6
53452,6
53453,6
53454,6
53455,6
53456,6
53457,6
53458,6
53459,6
53460,6
53461,6
53462,6
53463,6
53464,6
53465,6
53466,6
53467,2
53468,2
53469,2
53470,2
53471,2
53472,2
53473,2
53474,2
53475,2
53476,2
53477,2
53478,2
53479,2
53480,2
53481,2
53482,2
53483,2
53484,2
53485,2
53486,2
53487,2
53488,2
53489,2
53490,2
53491,2
53492,2
53493,2
53494,2
53495,2
53496,2
53497,2
53498,2
53499,2
53500,2
53501,2
53502,2
53503,2
53504,2
53505,2
53506,2
53507,2
53508,2
53509,2
53510,2
53511,2
53512,2
53513,2
53514,2
53515,2
53516,2
53517,2
53518,2
53519,2
53520,2
53521,2
53522,2
53523,2
53524,2
53525,2
53526,2
53527,2
53528,2
53529,2
53530,2
53531,2
53532,2
53533,2
53534,2
53535,2
53536,2
53537,2
53538,2
53539,2
53540,2
53541,2
53542,2
53543,2
53544,2
53545,2
53546,2
53547,2
53548,2
53549,2
53550,2
53551,2
53552,2
53553,2
53554,2
53555,2
53556,2
53557,2
53558,2
53559,2
53560,2
53561,2
53562,2
53563,2
53564,2
53565,2
53566,2
53567,2
53568,2
53569,2
53570,2
53571,2
53572,2
53573,2
53574,2
53575,2
53576,2
53577,2
53578,2
53579,2
53580,2
53581,2
53582,2
53583,2
53584,2
53585,2
53586,2
53587,2
53588,2
53589,2
53590,2
53591,2
53592,2
53593,2
53594,2
53595,2
53596,2
53597,2
53598,2
53599,2
53600,2
53601,2
53602,2
53603,2
53604,2
53605,2
53606,2
53607,2
53608,2
53609,2
53610,2
53611,2
53612,2
53613,2
53614,2
53615,2
53616,2
53617,2
53618,2
53619,2
53620,2
53621,2
53622,2
53623,2
53624,2
53625,2
53626,2
53627,2
53628,2
53629,2
53630,2
53631,2
53632,2
53633,2
53634,2
53635,2
53636,2
53637,2
53638,2
53639,2
53640,2
53641,2
53642,2
53643,2
53644,2
53645,2
53646,2
53647,2
53648,2
53649,2
53650,2
53651,2
53652,2
53653,2
53654,2
53655,2
53656,2
53657,2
53658,2
53659,2
53660,2
53661,2
53662,2
53663,2
53664,2
53665,2
53666,2
53667,2
53668,2
53669,2
53670,2
53671,2
53672,2
53673,2
53674,2
53675,2
53676,2
53677,2
53678,2
53679,2
53680,2
53681,2
53682,2
53683,2
53684,2
53685,2
53686,2
53687,2
53688,2
53689,2
53690,2
53691,2
53692,2
53693,2
53694,2
53695,2
53696,2
53697,2
53698,2
53699,2
53700,2
53701,2
53702,2
53703,2
53704,2
53705,2
53706,2
53707,2
53708,2
53709,2
53710,2
53711,2
53712,2
53713,2
53714,2
53715,2
53716,2
53717,2
53718,2
53719,2
53720,2
53721,2
53722,2
53723,2
53724,2
53725,2
53726,2
53727,2
53728,2
53729,2
53730,2
53731,2
53732,2
53733,2
53734,2
53735,2
53736,2
53737,2
53738,2
53739,2
53740,2
53741,2
53742,2
53743,2
53744,2
53745,2
53746,2
53747,2
53748,2
53749,2
53750,2
53751,2
53752,2
53753,2
53754,2
53755,2
53756,2
53757,2
53758,2
53759,2
53760,2
53761,2
53762,2
53763,2
53764,2
53765,2
53766,2
53767,2
53768,2
53769,2
53770,2
53771,2
53772,2
53773,2
53774,2
53775,2
53776,2
53777,2
53778,2
53779,2
53780,2
53781,2
53782,2
53783,2
53784,2
53785,2
53786,2
53787,2
53788,2
53789,2
53790,2
53791,2
53792,2
53793,2
53794,2
53795,2
53796,2
53797,2
53798,2
53799,2
53800,2
53801,2
53802,2
53803,2
53804,2
53805,2
53806,2
53807,2
53808,2
53809,2
53810,2
53811,2
53812,2
53813,2
53814,2
53815,2
53816,2
53817,2
53818,2
53819,2
53820,2
53821,2
53822,2
53823,2
53824,2
53825,2
53826,2
53827,2
53828,2
53829,2
53830,2
53831,2
53832,2
53833,6
53834,6
53835,7
53836,8
53837,8
53838,8
53839,8
53840,8
53841,8
53842,8
53843,5
53844,5
53845,5
53846,5
53847,5
53848,5
53849,5
53850,5
53851,5
53852,5
53853,5
53854,5
53855,5
53856,5
53857,5
53858,5
53859,5
53860,5
53861,3
53862,3
53863,3
53864,3
53865,3
53866,3
53867,3
53868,3
53869,3
53870,3
53871,3
53872,3
53873,3
53874,3
53875,3
53876,3
53877,3
53878,3
53879,3
53880,3
53881,3
53882,3
53883,3
53884,3
53885,3
53886,3
53887,3
53888,3
53889,3
53890,3
53891,3
53892,3
53893,3
53894,3
53895,3
53896,3
53897,3
53898,3
53899,3
53900,3
53901,3
53902,3
53903,3
53904,3
53905,3
53906,3
53907,3
53908,3
53909,3
53910,3
53911,6
53912,6
53913,6
53914,6
53915,6
53916,6
53917,6
53918,6
53919,6
53920,6
53921,6
53922,6
53923,6
53924,6
53925,6
53926,6
53927,6
53928,6
53929,6
53930,6
53931,6
53932,6
53933,6
53934,6
53935,6
53936,6
53937,6
53938,6
53939,6
53940,6
53941,6
53942,6
53943,6
53944,6
53945,6
53946,6
53947,6
53948,6
53949,6
53950,6
53951,6
53952,6
53953,7
53954,10
53955,7
53956,7
53957,1
53958,1
53959,7
53960,7
53961,7
53962,7
53963,7
53964,7
53965,7
53966,7
53967,7
53968,7
53969,7
53970,7
53971,6
53972,6
53973,6
53974,6
53975,6
53976,6
53977,6
53978,6
53979,6
53980,6
53981,6
53982,6
53983,6
53984,6
53985,6
53986,6
53987,6
53988,6
53989,6
53990,2
53991,2
53992,3
53993,3
53994,3
53995,1
53996,1
53997,7
53998,7
53999,7
54000,1
54001,1
54002,1
54003,1
54004,1
54005,1
54006,1
54007,1
54008,1
